               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 143,            0.060716,             0.19658,            0.003602,             0.98449,             0.48092,             0.49726,             0.31719,            0.058879,             0.12982,           0.0023197,           0.0058766,           0.0058766,           0.0058766
                 144,            0.058337,             0.18514,            0.002657,             0.98566,             0.47806,             0.49749,             0.31928,            0.058595,             0.13044,           0.0023106,           0.0058296,           0.0058296,           0.0058296
                 145,             0.05905,             0.18918,           0.0032536,             0.98333,             0.47997,             0.49571,             0.32266,            0.058323,             0.12954,           0.0022785,           0.0057826,           0.0057826,           0.0057826
                 146,            0.058702,              0.2064,           0.0030849,             0.98268,             0.48265,             0.49647,             0.31197,            0.058674,             0.13186,           0.0023272,           0.0057355,           0.0057355,           0.0057355
                 147,             0.05901,             0.21436,            0.003023,             0.98322,             0.48037,             0.49704,             0.32092,            0.057514,              0.1289,           0.0023019,           0.0056884,           0.0056884,           0.0056884
                 148,            0.057689,             0.19662,           0.0037465,             0.98471,             0.47844,             0.49822,             0.33076,            0.056098,             0.12633,           0.0022812,           0.0056413,           0.0056413,           0.0056413
                 149,            0.056722,             0.19465,           0.0031265,             0.98772,             0.47376,             0.49759,             0.32878,            0.057548,             0.12772,           0.0023292,           0.0055942,           0.0055942,           0.0055942
                 150,            0.060289,             0.19088,           0.0025466,             0.98666,             0.47806,             0.49729,             0.32393,            0.060668,             0.12975,           0.0023217,           0.0055471,           0.0055471,           0.0055471
                 151,            0.059814,             0.20114,            0.003245,             0.98589,             0.47727,             0.49668,             0.31475,            0.061327,             0.13012,           0.0023222,              0.0055,              0.0055,              0.0055
                 152,            0.058622,             0.19555,           0.0034717,             0.98509,             0.47691,             0.49625,             0.33228,            0.060541,             0.12635,           0.0022457,           0.0054529,           0.0054529,           0.0054529
